gata @ nprocs=2048, n=8  (116 (b,r) combos)
    b      r   reps     median(ms)         lo(ms)         hi(ms)        raw min        raw max   dropped
  256    512     18        5.02555        4.79974        5.15491        4.79974        5.15491         0
  511    512     18        5.62295        5.42982        5.83518        5.42982        5.83518         0
    1   1024     18        35.3897        34.9414        35.7354        34.9414        41.1904         2
    2   1024     18        17.6333        17.4122        18.2278        17.4122        18.2278         0
    4   1024     18        9.87868        9.71635        10.0444        9.71635        15.6319         1
    8   1024     18        6.05489          5.932        6.20563          5.932        6.45017         2
   16   1024     18        4.29098         4.1679        4.54752         4.1679        5.07979         2
   32   1024     18        3.32888        3.24441        3.80273        3.24441        4.27477         1
   64   1024     18         2.9512        2.81724        3.06975        2.81724        3.58046         2
  128   1024     18        2.79721        2.69643         3.1345        2.69643        3.28968         1
  256   1024     18        2.71896        2.63761        2.91271        2.63761        2.91271         0
  512   1024     18        2.62206        2.51535        2.82913        2.51535        2.98583         1
 1023   1024     18        2.62017        2.60159        2.66675        2.55808        3.07721         3
    1   2048     18        59.0686        58.6273        59.9389        58.6273        65.3629         1
    2   2048     18        29.7017        29.3525        30.1097        29.3525         35.396         2
    4   2048     18        15.7424        15.5597        16.2124        15.5597        16.2124         0
    8   2048     18         8.9479         8.6593        9.42661         8.6593        9.42661         0
   16   2048     18        5.60881        5.41809        5.94194        5.41809        6.81812         2
   32   2048     18        4.02441        3.88837        4.07427        3.83523        4.94274         4
   64   2048     18        3.33137        3.08127        3.62684        3.08127         4.2508         1
  128   2048     18        3.08559        2.89638        3.23411        2.89638        3.81279         3
  256   2048     18        2.95838        2.85361        3.09307        2.85361        8.53096         3
  512   2048     18        2.89595        2.81196        2.99314        2.81196        3.18331         2
 1024   2048     18        5.67344        2.84171        11.6499        2.84171        11.6499         0
 2047   2048     18        3.32045        3.02069        8.18387        3.02069        8.18387         0

best (lowest median): b=1, r=2, median=1.52631 ms
